ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA
200901,2009,Jan,"PROTEGE GOIAS",6084202000145,Direta,Executivo,83.33,"ADICIONAL DE ICMS 2% - LEI 15.5005/05 - AUTO DE INFRACAO",
200901,2009,Jan,"PROTEGE GOIAS",6084202000145,Direta,Executivo,1.742983333E7,"ADICIONAL DE ICMS 2% - LEI 15.505/2005",1.438920261E7
200901,2009,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,9083.33,"ALIENACAO DE BENS",901.75
200901,2009,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,209333.33000000002,"ALIENACAO DE BENS",0.0
200901,2009,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,9083.33,"ALIENACAO DE BENS",901.75
200901,2009,Jan,"FUNDO EST. DE SEGURANCA PUBLICA-FUNESP",2658753000114,Direta,Executivo,208333.33000000002,"ALIENACAO DE BENS",0.0
200901,2009,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,3916.67,"ALIENACAO DE BENS IMOVEIS",901.75
200901,2009,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,3916.67,"ALIENACAO DE BENS IMOVEIS",901.75
200901,2009,Jan,"AG. GOIANA DE DEFESA AGROPECUARIA",6064227000187,Indireta,Executivo,,"ALIENACAO DE BENS MOVEIS",0.0
200901,2009,Jan,"AGÊNCIA GOIANA DE DESENV.REGIONAL - AGDR",,Indireta,Executivo,250.0,"ALIENACAO DE BENS MOVEIS",
200901,2009,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,5166.67,"ALIENACAO DE BENS MOVEIS",
200901,2009,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,6333.34,"ALIENACAO DE IMOVEIS RURAIS",0.0
200901,2009,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,6333.34,"ALIENACAO DE IMOVEIS RURAIS",0.0
200901,2009,Jan,"ESTADO DE GOIAS",,N/A,N/A,750.0,"ALIENACAO DE IMOVEIS URBANOS",901.75
200901,2009,Jan,"AGENCIA GOIANA DE DESENVOLV. REGIONAL",3540410000113,Indireta,Executivo,500.0,"ALIENACAO DE OUTROS BENS MOVEIS",
200901,2009,Jan,"ESTADO DE GOIAS - PODER JUDICIARIO",,N/A,N/A,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
200901,2009,Jan,"ESTADO DE GOIAS",,N/A,N/A,750.0,"ALIENAÇÃO DE IMOVEIS URBANOS",901.75
200901,2009,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,750.0,"ALIENAÇÃO DE IMOVEIS URBANOS",901.75
200901,2009,Jan,"AGENCIA GOIANA DE TURISMO",3549463000103,Indireta,Executivo,8833.34,ALUGUEIS,
200901,2009,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,58833.340000000004,ALUGUEIS,48952.98
200901,2009,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,26666.68,ALUGUEIS,29015.36
200901,2009,Jan,"UNIVERSIDADE ESTADUAL DE GOIAS",1112580000171,Indireta,Executivo,11500.0,ALUGUEIS,905.2
200901,2009,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,333333.33,"AMORTIZACAO DE EMPRESTIMOS",163219.92
