ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA
201201,2012,Jan,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",3521741000106,Indireta,Executivo,166.67000000000002,"ALIENACAO DE BENS",
201201,2012,Jan,"DEP. EST. DE TRÂNSITO DE GOIÁS- DETRAN",2872448000120,Indireta,Executivo,41666.67,"ALIENACAO DE BENS",
201201,2012,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,409250.0,"ALIENACAO DE BENS",591350.0
201201,2012,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,103333.33,"ALIENACAO DE BENS",0.0
201201,2012,Jan,"FUNDO CAP. SERV. E MOD. - FUNCAM",13301077000143,Direta,Executivo,,"ALIENACAO DE BENS",0.0
201201,2012,Jan,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",7004223000176,Direta,N/A,1000.0,"ALIENACAO DE BENS",
201201,2012,Jan,"FUNDO PENINT. ESTADUAL - FUNPES",10879198000189,Indireta,Executivo,83.33,"ALIENACAO DE BENS",
201201,2012,Jan,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",3521741000106,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",
201201,2012,Jan,EMATER,13232306000115,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",
201201,2012,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,99416.66,"ALIENACAO DE BENS IMOVEIS",0.0
201201,2012,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,83.33,"ALIENACAO DE BENS IMOVEIS",
201201,2012,Jan,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",3537650000169,Indireta,Executivo,500.0,"ALIENACAO DE BENS MOVEIS",
201201,2012,Jan,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",7004223000176,Direta,N/A,1000.0,"ALIENACAO DE BENS MOVEIS",
